username,full_name,id,city,country_code,followers_count,permalink_url,avatar_url,verified,last_modified,kind
ONEFOUR_OFFICIAL,ONEFOUR,280326838,mount druitt,AU,29534,https://soundcloud.com/onefour70,https://i1.sndcdn.com/avatars-Ns8132xYDRbdtTO2-bqESEg-large.jpg,True,2021-08-22T00:00:01Z,user
Journee,,264105478,"San Jose, California",US,1505,https://soundcloud.com/journee,https://i1.sndcdn.com/avatars-vGv187TzTixu1Dge-PFnhKg-large.jpg,False,2021-10-11T19:26:34Z,user
yergurl,fae,273797450,,AU,2127,https://soundcloud.com/yergurl,https://i1.sndcdn.com/avatars-Hx8sPTHoKoQI3jSx-bFMCWA-large.jpg,True,2020-12-16T21:41:24Z,user
YULLOLA,,283953994,Maine,,1175,https://soundcloud.com/yullola,https://i1.sndcdn.com/avatars-uhJ8pFHo5oP19oBE-Om0zew-large.jpg,True,2021-10-22T16:14:06Z,user
cøzybøy,,286202607,"san jose, ca",,11486,https://soundcloud.com/cozyboycries,https://i1.sndcdn.com/avatars-fEyhXy0CDpmGzlHL-NJUaPA-large.jpg,True,2021-02-23T08:08:24Z,user
Jakob Campbell,Jakob Campbell,31798330,Denver,US,2661,https://soundcloud.com/jakob-campbell-1,https://i1.sndcdn.com/avatars-DQduajjlvi6NN742-BxydpQ-large.jpg,False,2021-10-22T13:21:12Z,user
☆TOKYO'S REVENGE☆,,88049625,,,112792,https://soundcloud.com/tokyosrevenge,https://i1.sndcdn.com/avatars-LZeMXqNxYe0vluC1-MCjKCA-large.jpg,True,2020-12-18T05:37:37Z,user
belis ✩,,120343048,#NEILAWORLD,,23420,https://soundcloud.com/belisgo,https://i1.sndcdn.com/avatars-LKfHeHG538gAscvz-mVyYiw-large.jpg,True,2021-09-06T08:03:15Z,user
Che Lingo,Ché Lingo,2158611,London,GB,6726,https://soundcloud.com/che_lingo,https://i1.sndcdn.com/avatars-0mi8tDevH6iYj9r5-93tcbQ-large.jpg,True,2021-08-10T01:46:19Z,user
Ness Heads,,199306411,"Los Angeles, CA",US,1909,https://soundcloud.com/nessheads,https://i1.sndcdn.com/avatars-lfcXSv2XpLsa982X-a5yxoQ-large.jpg,False,2021-08-27T21:18:57Z,user
Lil Playah,Malachi,212208847,Houston,US,27225,https://soundcloud.com/lil-playah,https://i1.sndcdn.com/avatars-WlyG5jaYzWk2mDmP-7JCTeA-large.jpg,True,2021-10-02T21:46:57Z,user
2Floody,,99638593,New Jersey,US,21540,https://soundcloud.com/2floody,https://i1.sndcdn.com/avatars-2MTlLGMHD45p3WZ9-SFrJgQ-large.jpg,True,2021-11-02T01:41:28Z,user
Jallal,,19787796,Los Angeles ,,153549,https://soundcloud.com/jallal,https://i1.sndcdn.com/avatars-000399487857-ymgnf9-large.jpg,True,2021-07-10T17:57:20Z,user
Panda Eyes,,2517228,Zurich,CH,234181,https://soundcloud.com/officialpandaeyes,https://i1.sndcdn.com/avatars-000678464852-duzavf-large.jpg,True,2021-10-29T01:04:41Z,user
Hadeer Mahdy,Hadeer Mahdy,30072395,cairo,EG,4728,https://soundcloud.com/leljanaah,https://i1.sndcdn.com/avatars-000032073219-fuhjja-large.jpg,False,2017-08-18T15:24:27Z,user
Amira Hussein,,32605366,,,1201,https://soundcloud.com/nour-el-houda-4,https://i1.sndcdn.com/avatars-000129117615-pewyi0-large.jpg,False,2016-09-19T04:15:07Z,user
A7med saeed,,43011030,cairo,EG,68,https://soundcloud.com/a7medsaeed,https://i1.sndcdn.com/avatars-000185025844-pn4s12-large.jpg,False,2015-10-29T00:31:57Z,user
HemaGika,Hema Dark,5904229,Al Qahirah,EG,298,https://soundcloud.com/massari-hema,https://i1.sndcdn.com/avatars-000095744148-ivmmo6-large.jpg,False,2016-09-11T14:58:00Z,user
Mohamed Ibrahim,Mohamed Ibrahim,59516917,CAIRO,EG,2444,https://soundcloud.com/mohamed-ibrahim-242,https://i1.sndcdn.com/avatars-PWIxAnF5k77GIq6s-QQGDUg-large.jpg,False,2019-11-30T23:44:12Z,user
Milad ELnokrashy,Milad ELnokrashy,51746649,Al Qahirah,EG,2135,https://soundcloud.com/milad-elnokrashy,https://i1.sndcdn.com/avatars-000168321042-10pmgl-large.jpg,False,2017-01-18T14:13:38Z,user
Lekaa Alrayan,Lekaa Alrayan,95312015,,,2768,https://soundcloud.com/lekaa-alrayan,https://i1.sndcdn.com/avatars-ALxySZ65DoLYzsRl-CIgLFg-large.jpg,False,2021-10-25T00:36:38Z,user
TorreS,Muhammed Sheriff,164457543,,,5246,https://soundcloud.com/muhammad_sherif,https://i1.sndcdn.com/avatars-000707350746-lzpcoz-large.jpg,False,2019-10-15T13:14:40Z,user
Ahmed Kamel,Ahmed Kamel,287084903,Dar El Salam,EG,12502,https://soundcloud.com/bhgq2i2ecwdd,https://i1.sndcdn.com/avatars-000294380143-t0qa12-large.jpg,False,2017-02-13T15:04:01Z,user
Ana Tosha,Ana Tosha,137805910,,,2357,https://soundcloud.com/ana-tosha,https://i1.sndcdn.com/avatars-000130219941-j2eymm-large.jpg,False,2019-01-15T10:31:10Z,user
Ahmed abo hashem ✪,ahmed eihap,71918430,Al Qahirah,EG,3268,https://soundcloud.com/mody-abo-hashem,https://i1.sndcdn.com/avatars-5ZJw4rXZAf1ypgoZ-1PyoRQ-large.jpg,False,2021-08-22T11:40:25Z,user
PluTo,Khaled Saad,111875661,Damietta,EG,1276,https://soundcloud.com/khaled-saad-75,https://i1.sndcdn.com/avatars-a7yz13af5rACfAhI-TRM0fg-large.jpg,False,2021-09-06T09:01:04Z,user
Ahmed 7enkesh,أحمد محمود,233622383,Cairo,EG,3970,https://soundcloud.com/ahmed7enkesh,https://i1.sndcdn.com/avatars-000566575056-a5aizz-large.jpg,False,2019-01-15T16:38:52Z,user
amr,Amr Hisham,310254400,,,663,https://soundcloud.com/amr-hisham-367938159,https://i1.sndcdn.com/avatars-DsSYW0LA2KPyhUvg-qtCy2A-large.jpg,False,2020-09-11T10:53:39Z,user
Night muZic - مزيكا الليل,Night muZic - مزيكا الليل,414180330,,,4764,https://soundcloud.com/night-muzic,https://i1.sndcdn.com/avatars-000547034262-fu3gw4-large.jpg,False,2018-12-07T16:00:18Z,user
Kand Il,Kand Il,445177398,,,1900,https://soundcloud.com/kand-il,https://i1.sndcdn.com/avatars-000440711022-1vklk7-large.jpg,False,2019-01-15T10:31:10Z,user
Ahmed Okasha,Ahmed Okasha,164555287,cairo,,1167,https://soundcloud.com/ahmed-okasha-86,https://i1.sndcdn.com/avatars-000156005661-oq4hf3-large.jpg,False,2019-12-01T11:56:43Z,user
Asmaa Maher,,102766006,,,4020,https://soundcloud.com/soo-mt,https://i1.sndcdn.com/avatars-000205799476-juvq6n-large.jpg,False,2019-01-15T10:31:10Z,user
FaRrahh,faraa aahhh,145358743,,,1942,https://soundcloud.com/fa-rah-13,https://i1.sndcdn.com/avatars-000390738153-og15ok-large.jpg,False,2018-01-28T19:09:06Z,user
Romio Adel,Romio Adel,249055660,,,79,https://soundcloud.com/romio-adel-891080441,https://i1.sndcdn.com/avatars-WrDO2W8lEz39BfPR-QybUHQ-large.jpg,False,2020-06-24T17:36:23Z,user
Ahmed Kamel,Ahmed Kamel,287084903,Dar El Salam,EG,12502,https://soundcloud.com/bhgq2i2ecwdd,https://i1.sndcdn.com/avatars-000294380143-t0qa12-large.jpg,False,2017-02-13T15:04:01Z,user
sataa,mohamed Halem,70845988,,,169,https://soundcloud.com/andleb-halem-1,https://i1.sndcdn.com/avatars-zNTg0YdSmbiyregP-CMv8JA-large.jpg,False,2021-05-29T22:01:22Z,user
